Timestamp,language,problem
4/10/2024 14:14:07,Scratch,Snackbar
4/10/2024 14:14:09,Python,Create
4/10/2024 14:14:14,Scratch,Snackbar
4/10/2024 14:14:17,Python,Create
4/10/2024 14:14:19,Python,Create
4/10/2024 14:14:21,Scratch,Snackbar
4/10/2024 14:14:21,C,Fahrenheit
4/10/2024 14:14:27,Scratch,Snackbar
4/10/2024 14:14:29,C,Create
4/10/2024 14:14:30,C,Runoff
4/10/2024 14:14:33,Python,Filter
4/10/2024 14:14:33,Scratch,Snackbar
4/10/2024 14:14:34,C,Filter
4/10/2024 14:14:41,Scratch,Snackbar
4/10/2024 14:14:41,Python,Cash
4/10/2024 14:14:42,Python,Create
4/10/2024 14:14:48,Python,Runoff
4/10/2024 14:14:48,Scratch,Snackbar
4/10/2024 14:14:51,Python,Create
4/10/2024 14:14:53,Scratch,Snackbar
4/10/2024 14:14:56,Python,Population
4/10/2024 14:14:56,Python,Filter
4/10/2024 14:14:58,Scratch,Snackbar
4/10/2024 14:15:01,C,Create
4/10/2024 14:15:03,C,Create
4/10/2024 14:15:03,Scratch,Snackbar
4/10/2024 14:15:09,Scratch,Snackbar
4/10/2024 14:15:14,Scratch,Snackbar
4/10/2024 14:15:21,Scratch,Snackbar
4/10/2024 14:15:23,Python,Filter
4/10/2024 14:15:27,Scratch,Snackbar
4/10/2024 14:15:33,Scratch,Snackbar
4/10/2024 14:15:34,Python,Filter
4/10/2024 14:15:39,Scratch,Snackbar
4/10/2024 14:15:43,Scratch,Snackbar
4/10/2024 14:15:51,Python,Runoff
4/10/2024 14:16:01,C,Plurality
